Value: ;, Type: SEMICOLON, Line: 40
Value: result, Type: IDENTIFIER, Line: 41
Value: :, Type: COLON, Line: 41
Value: =, Type: EQUAL, Line: 41
Value: a, Type: IDENTIFIER, Line: 41
Value: ;, Type: SEMICOLON, Line: 41
Value: if, Type: IF, Line: 42
Value: b, Type: IDENTIFIER, Line: 42
Value: =, Type: EQUAL, Line: 42
Value: 0, Type: NUMBER, Line: 42
Value: then, Type: THEN, Line: 42
Value: :, Type: COLON, Line: 42
Value: result, Type: IDENTIFIER, Line: 42
Value: :, Type: COLON, Line: 42
Value: =, Type: EQUAL, Line: 42
Value: 1, Type: NUMBER, Line: 42
Value: else, Type: ELSE, Line: 43
Value: :, Type: COLON, Line: 43
Value: while, Type: WHILE, Line: 43
Value: i, Type: IDENTIFIER, Line: 43
Value: <, Type: LESS, Line: 43
Value: b, Type: IDENTIFIER, Line: 43
Value: do, Type: DO, Line: 43
Value: begin, Type: BEGIN, Line: 44
Value: result, Type: IDENTIFIER, Line: 45
Value: :, Type: COLON, Line: 45
Value: =, Type: EQUAL, Line: 45
Value: a, Type: IDENTIFIER, Line: 45
Value: *, Type: MUL, Line: 45
Value: a, Type: IDENTIFIER, Line: 45
Value: ;, Type: SEMICOLON, Line: 45
Value: i, Type: IDENTIFIER, Line: 46
Value: :, Type: COLON, Line: 46
Value: =, Type: EQUAL, Line: 46
Value: i, Type: IDENTIFIER, Line: 46
Value: +, Type: PLUS, Line: 46
Value: 1, Type: NUMBER, Line: 46
Value: ;, Type: SEMICOLON, Line: 46
Value: end, Type: END, Line: 47
Value: ;, Type: SEMICOLON, Line: 47
Value: return, Type: RETURN, Line: 48
Value: result, Type: IDENTIFIER, Line: 48
Value: ;, Type: SEMICOLON, Line: 48
Value: end, Type: END, Line: 49
Value: function, Type: FUNC, Line: 51
Value: maior, Type: IDENTIFIER, Line: 51
Value: (, Type: LEFT_PARENTHESIS, Line: 51
Value: a, Type: IDENTIFIER, Line: 51
Value: :, Type: COLON, Line: 51
Value: vetor, Type: IDENTIFIER, Line: 51
Value: ), Type: RIGHT_PARENTHESIS, Line: 51
Value: :, Type: COLON, Line: 51
Value: integer, Type: INTEGER, Line: 51
Value: var, Type: VAR, Line: 52
Value: i, Type: IDENTIFIER, Line: 52
Value: :, Type: COLON, Line: 52
Value: integer, Type: INTEGER, Line: 52
Value: ;, Type: SEMICOLON, Line: 52
Value: begin, Type: BEGIN, Line: 53
Value: i, Type: IDENTIFIER, Line: 54
Value: :, Type: COLON, Line: 54
Value: =, Type: EQUAL, Line: 54
Value: 0, Type: NUMBER, Line: 54
Value: ;, Type: SEMICOLON, Line: 54
Value: result, Type: IDENTIFIER, Line: 55
Value: :, Type: COLON, Line: 55
Value: =, Type: EQUAL, Line: 55
Value: a, Type: IDENTIFIER, Line: 55
Value: [, Type: LEFT_BRACKETS, Line: 55
Value: 0, Type: NUMBER, Line: 55
Value: ], Type: RIGHT_BRACKETS, Line: 55
Value: ;, Type: SEMICOLON, Line: 55
Value: while, Type: WHILE, Line: 56
Value: i, Type: IDENTIFIER, Line: 56
Value: <, Type: LESS, Line: 56
Value: 15, Type: NUMBER, Line: 56
Value: do, Type: DO, Line: 56
Value: begin, Type: BEGIN, Line: 57
Value: if, Type: IF, Line: 58
Value: a, Type: IDENTIFIER, Line: 58
Value: [, Type: LEFT_BRACKETS, Line: 58
Value: i, Type: IDENTIFIER, Line: 58
Value: ], Type: RIGHT_BRACKETS, Line: 58
Value: >, Type: GREATER, Line: 58
Value: result, Type: IDENTIFIER, Line: 58
Value: then, Type: THEN, Line: 58
Value: :, Type: COLON, Line: 58
Value: result, Type: IDENTIFIER, Line: 58
Value: :, Type: COLON, Line: 58
Value: =, Type: EQUAL, Line: 58
Value: a, Type: IDENTIFIER, Line: 58
Value: [, Type: LEFT_BRACKETS, Line: 58
Value: i, Type: IDENTIFIER, Line: 58
Value: ], Type: RIGHT_BRACKETS, Line: 58
Value: ;, Type: SEMICOLON, Line: 58
Value: i, Type: IDENTIFIER, Line: 59
Value: :, Type: COLON, Line: 59
Value: =, Type: EQUAL, Line: 59
Value: i, Type: IDENTIFIER, Line: 59
Value: +, Type: PLUS, Line: 59
Value: 1, Type: NUMBER, Line: 59
Value: ;, Type: SEMICOLON, Line: 59
Value: end, Type: END, Line: 60
Value: ;, Type: SEMICOLON, Line: 60
Value: return, Type: RETURN, Line: 61
Value: result, Type: IDENTIFIER, Line: 61
Value: ;, Type: SEMICOLON, Line: 61
Value: end, Type: END, Line: 62
Value: function, Type: FUNC, Line: 64
Value: menor, Type: IDENTIFIER, Line: 64
Value: (, Type: LEFT_PARENTHESIS, Line: 64
